,perma1,perma2,perma4,perma5,perma6,perma8,perma9,perma10,perma13,perma14,perma16,perma19,perma22,perma23,perma24,perma26,perma27,perma29,perma30,perma33,perma34,perma35,perma36,perma37,perma38,perma41,perma44,perma45,perma46,perma49,perma51,perma52,perma53,perma54,perma55,perma57,perma58,perma59
Mood_anxious,0.9003090230696813,0.279339525174423,0.7215459326971726,0.9963196010922476,-0.0022847199598579,,0.8339336836504301,0.7369222771646461,0.400322274523634,0.5746065742547847,0.7129446211304916,0.4182370517753002,0.7551535167409433,0.3980682596718122,0.7386423947513135,0.6196958249819056,0.2643199603554456,0.7232686109860107,0.4398156223371452,0.5563680335164435,0.4372347690625223,0.5265889362947845,0.6081810938923093,0.1908095183860812,0.0612445331502459,0.088748853914342,0.5024628096143481,0.6263381494922797,0.7142240293810278,-0.284448703040812,0.910146636557406,0.7600455592547064,0.152320246293428,-0.0344827586206896,0.2835457116217154,0.3317087075595614,0.4280417613074126,0.4770368971119783
Connect_satisfaction,-0.5456910800567486,0.1812286863717726,-0.6142733646352064,0.1205964834184366,0.4696744553325981,,-0.1382722039078533,-0.0103823144243871,0.2905270290679896,-0.4043777669578765,0.0276091603703091,-0.2045374311129028,-0.0081563127839529,-0.2464025547246386,0.1366080375641051,-0.302572399596045,-0.3725250945839408,0.2046857559774643,0.1796053561262571,-0.3312456031789534,-0.1466251348327109,-0.1226375344325046,-0.2991467002112438,-0.3202636660017576,0.100209087867692,0.0300727896822869,-0.3688618612975164,-0.221697008575782,-0.3069227512544025,-0.2278368532639454,-0.6033591409349195,-0.0354831290266123,-0.0527889393685703,,-0.6008835869313867,-0.0617220963795803,-0.5658877647265572,
Sleep_wakeuptime,-0.5396838658020346,-0.0770165482045613,0.1460008525021682,-0.1054137362213477,0.4167136597393504,0.3565370164061462,0.0133777571335737,0.0593732126860381,0.2115053328726432,0.154080054246765,-0.0367059861835466,0.0460636184880171,-0.3131888132876917,-0.2195324374925061,-0.0960078718979256,0.1354936179692196,-0.1479750947932352,-0.0756876735204626,0.1938024474586364,-0.0061347261227624,-0.0514257081360633,-0.166383745252299,-0.1041638850279025,-0.0780758098251797,-0.4206310447329376,0.0128177712861729,0.1084615860970812,-0.0249417999199395,0.0239280039896392,0.0038857921019538,-0.2247665242665512,0.1434930448510857,-0.1187465847472848,-0.1825479676342484,-0.0958203143469171,-0.0489710569202666,0.271269157913459,0.0561317488189182
Diet_satisfaction,-0.5106170030127531,0.1452258110176938,-0.3951301819898145,-0.184175805306757,-0.1873101424608821,0.0241754738514861,-0.164430815925007,0.0990148769399494,0.0152726699687672,-0.2455999767383914,-0.1647125960730446,-0.2477848104232003,-0.1427771339480049,0.1145285228045931,0.0662478910457727,,-0.1616131837145156,0.4934520084456673,-0.0161327818470721,-0.3154008189004065,-0.0312025720288693,-0.2590612177933222,0.0047867192689724,0.0345208929698186,0.0775364762592271,-0.0681750426283547,-0.2933123946031072,,-0.1980403985997593,-0.271088586252773,-0.3814716586858903,0.3654070339480428,-0.0915913559779004,-0.4827586206896552,-0.3691447726655212,-0.0520570347765703,-0.2495443553126272,
Gratitude,-0.4011606129089129,,-0.1105333674022545,0.2719314094193213,-0.0659307532854208,,0.0638420922167083,-0.2485110839606938,0.0509979935105789,0.0861298102618562,-0.4145113444953914,-0.2968323520039966,-0.0695141831496662,0.0326077412681644,-0.3320793921390452,-0.319978783654442,0.067361854659638,-0.2622524641432545,-0.0427494143526747,-0.3283108597668985,0.1963439085741507,0.2987415597358016,-0.0331684064660333,-0.1058430792517018,0.1100107997915043,-0.0397130692727509,,,-0.4190471478334489,-0.2097511104010194,,-0.1603406595809599,-0.0162147509227917,,-0.0579405130674142,-0.1042672588617275,,
past_day_sugars,0.3895028065545455,0.0143741506979923,-0.1376267403933638,0.1013498453936781,-0.0797774053967567,-0.4871223004474547,-0.0156298816014995,0.2112526641129328,-0.0048146178880318,-0.1016508305570597,-0.0952714379034115,-0.0009046072674873,-0.4657239152922303,-0.0966668714281134,-0.1287187445395577,0.2459766272250586,0.0856924459554548,-0.2153840798457466,-0.0609166000896535,-0.1665192240225155,0.1405078702526186,-0.1016498954239234,-0.0393586113598328,0.1799754546279035,-0.0681075691956226,-0.1774521755449305,-0.1043165165899628,,0.1365214726550001,-0.0908734830394041,-0.3324133449301344,-0.3012246487192915,-0.018135482204192,0.095781695995632,-0.1101440299429953,-0.0869656246095309,0.1593955326753791,-0.0254897520428067
Reflect_activetime,-0.3635268741030483,0.0641860403610487,-0.030547916700736,-0.1941520356361455,0.0099420022412752,-0.2142488768359864,0.0286624123836732,-0.0406755159915225,-0.2411675531565579,-0.1717541844500044,-0.0349578815153357,,-0.0016349540146959,-0.0501700412599827,-0.1242671338195768,0.0490423466094318,-0.156986947406245,-0.2993620365855198,0.08516540750495,0.1779857026511523,-0.2193848731882154,,-0.26506556653272,-0.0481138620452285,-0.0091449036653561,0.1567902837195409,,0.0877817715524642,0.1170506719391052,0.2202037396362026,,0.0044307435517985,0.2914628980314512,,0.0049690440310145,0.1244033152285067,,
Reflect_totaltime,-0.3412411578850949,0.0369807914541102,-0.0168098871230307,-0.2945606374988694,0.0338028076203359,-0.2142488768359864,-0.0644764051566192,-0.0742629630358601,-0.2183663861693991,0.0369369882761548,-0.0353211528660147,,-0.0791661943958034,0.0501700412599827,-0.140916845015988,-0.1547539305862176,-0.1596498670888495,-0.2491237556651572,0.0661235104952437,0.2204170768054085,-0.1313013491317791,,-0.2034879031574845,-0.1273368051055161,0.0235195491143377,0.1731692434140818,,0.0560778323359598,0.1398066420748663,0.2029059396398425,,-0.1372375346505175,0.2887932328355919,,-0.0700076558452409,0.1123990358848322,,
Sleep_satisfaction,-0.3385101932282918,0.1484170649525873,-0.3332968662993819,-0.3497172506094342,-0.6768300377056629,-0.3099115966531633,0.0355732235441333,0.2214406395966388,0.1739815201069187,-0.1218911212272386,-0.2007382594079977,-0.0164326534011391,-0.4108670100304715,0.0231161564131364,-0.2910127883741725,-0.1315143418174564,-0.0981098655142339,-0.1163852582486491,-0.0039842565500654,-0.1688472587380506,-0.1609417735972068,-0.4090083464656925,-0.1058317398262514,-0.0213266707745188,-0.2291595167191284,-0.1515294091765528,-0.0019211371473648,0.1550668666049201,-0.1630586790831233,0.0010783498103116,-0.1827659026491508,-0.2679090721134448,-0.2005781913711808,0.0124072916746366,-0.0191921791556278,0.0496161727107545,-0.3644234489996851,0.2148058302585967
Sleep_bedtime,-0.2940823371611389,0.0033835910315065,-0.1945392780763393,-0.0742329633026713,-0.1736434762492904,0.0824172269694427,0.1273476380682144,-0.1162833614229853,-0.1677322640951749,0.0391236762726962,0.072447585739564,-0.2451403650269443,-0.1123058481187651,0.0876496859913545,0.1123681212152105,-0.1112707624860478,0.1236811158373969,-0.2792544400583889,-0.0045574791463109,-0.0397819347991875,0.0707055514962712,-0.0377629503282859,-0.1536108078833424,-0.0147254160213684,0.1459026513514227,-0.0134978901416578,-0.0325007698220421,0.0198696372664975,-0.3176044797829652,0.1387502772723508,-0.4610965200998563,0.2432080266241177,0.0255556416147622,-0.0898815415112324,-0.1688481178344033,0.1086584448102067,-0.0858354442494096,-0.0377180420574781
